id,name,slug,tagline,shortenedUrl,commentsCount,createdAt,featuredAt,updatedAt,pricingType,topic_id,topic_name,topic_slug,redirectToProduct_id,redirectToProduct_slug,disabledWhenScheduled,votesCount,productState,thumbnailImageUuid
489481,Stockbubbles,stockbubbles,India Bubble Chart for Stock Market Analysis,/r/p/489481,17,2024-09-20T00:01:00-07:00,,2024-09-22T08:57:36-07:00,free,46,Productivity,productivity,,,True,14,default,d9c52e83-ffd3-4ed9-b7b5-9026db3685a2.png
489396,Mezon,mezon,community,/r/p/489396,0,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:47-07:00,,2,Android,android,,,True,4,default,c025167b-60e3-4320-b69e-33362a801182.png
489217,Hivly Recruiter,hivly-recruiter,Conducts video interviews with thousands of test scenarios,/r/p/489217,15,2024-09-20T00:01:00-07:00,,2024-09-22T10:10:34-07:00,free_options,41,Hiring,hiring,,,True,96,default,15bf5673-7b47-4084-819b-aee3efe633c7.png
489146,The Kaitchup,the-kaitchup,AI on a Budget ,/r/p/489146,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:48-07:00,free_options,46,Productivity,productivity,,,True,4,default,15fd948e-6900-4090-8704-e844a49bf617.png
489124,CVBee.ai: AI CV Maker Free Online,cvbee-ai-ai-cv-maker-free-online,Create professional resumes with AI CV maker in minutes.,/r/p/489124,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:48-07:00,free,46,Productivity,productivity,,,True,4,default,c3b663e6-9817-46fd-a921-6a9cc51c1bef.png
488987,Golden Dataset,golden-dataset,AI to build you Golden Datasets,/r/p/488987,0,2024-09-20T00:01:00-07:00,,2024-09-22T10:47:15-07:00,free_options,268,Artificial Intelligence,artificial-intelligence,,,True,4,default,4696b401-815a-43fd-bb6b-b82225cd62fa.png
488986,Mortgage Recast Calculator,mortgage-recast-calculator-2,Calculate potential savings when recasting a mortgage,/r/p/488986,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:48-07:00,free,21,Web App,web-app,,,True,3,default,9a980dd0-b385-4161-a832-f0bbc196d969.png
488968,SUNNY by UNCHARTED,sunny-by-uncharted,"Take photos, answer questions, and discover energy savings",/r/p/488968,9,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:36-07:00,free,268,Artificial Intelligence,artificial-intelligence,,,True,14,default,771e13b5-0d9a-4113-a898-061f330af702.png
488949,MiKRUD.com,mikrud-com,WhiteLabel Ai Light Fast Any Business Software Schema Based,/r/p/488949,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:45-07:00,free,88,API,api-1,,,True,4,default,44dcb94c-e02a-481a-989b-fed430b4d20f.png
488892,Misolla Music,misolla-music,"Your Piano Learning, Set on Autopilot!",/r/p/488892,23,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:35-07:00,free_options,57,Music,music,,,True,35,default,25595f44-638a-4923-9e75-0a94f5243ced.jpeg
488825,Wafrow. Landing pages on steroids,wafrow-landing-pages-on-steroids,AI powered copywriting and A/B testing in 6 languages,/r/p/488825,11,2024-09-20T00:01:00-07:00,,2024-09-22T08:49:52-07:00,free_options,90,Writing,writing,,,True,26,default,43dec4ad-3367-4207-b6d8-0f5c17d665f7.png
488708,famstep,famstep,"Your Talent, Our Platform: Step into Fame with Your Skills.",/r/p/488708,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:46-07:00,free,41,Hiring,hiring,,,True,4,default,5e4f35da-1188-4f0b-8688-f7b2cb85d9b7.png
488671,FastSwift,fastswift,"Ship your SwiftUI Application in days, not weeks",/r/p/488671,0,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:46-07:00,payment_required,237,SaaS,saas,,,True,5,default,a93b720a-801d-4715-8d4a-d70458a2e6c3.png
488550,T - Card Launch - Job Finder in Telegram,t-card-launch-job-finder-in-telegram,"Search for Jobs,create CV,verified employers,all in Telegram",/r/p/488550,1,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:48-07:00,,29,Telegram,telegram,,,True,3,default,3c11fd63-85a4-44e1-9db2-cb54cd853466.png
488487,CAFE PACKAGING MOCKUPS VOL. 1 BUNDLE,cafe-packaging-mockups-vol-1-bundle,Brew Your Brand,/r/p/488487,0,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:45-07:00,,44,Design Tools,design-tools,,,True,4,default,62487297-c598-43bc-bb19-f4d610807f30.png
488357,Relit.ai,relit-ai,AI photo studio for all your needs,/r/p/488357,78,2024-09-20T00:01:00-07:00,,2024-09-22T14:26:10-07:00,free_options,237,SaaS,saas,,,True,172,default,65b6e644-eaca-48b0-a46c-90904db969b6.webp
488036,TeamTimeSync,teamtimesync,Scheduling Tool for Global Teams ,/r/p/488036,2,2024-09-20T00:01:00-07:00,,2024-09-22T08:11:41-07:00,free_options,46,Productivity,productivity,,,True,6,default,71b376ad-4f52-40db-8628-4e1133e4646a.png
